epoch,learning_rate,train_loss,grad_norm,eval_loss
0.01,9.950000000000001e-06,1.1984237670898437,2.4082202911376953,
0.02,1.995e-05,0.6912238311767578,1.8761184215545654,
0.03,2.495e-05,0.5876057052612305,2.472522497177124,
0.04,3.495e-05,0.5143131256103516,1.8828332424163818,
0.05,3.995e-05,0.5025177764892578,3.604663610458374,
0.06,4.995e-05,0.4815509033203125,1.285351276397705,
0.07,4.987624378109453e-05,0.4622763442993164,5.032556056976318,
0.08,4.981405472636816e-05,0.4580751037597656,2.1329538822174072,
0.09,4.968967661691543e-05,0.4487195587158203,0.7463533282279968,
0.1,4.956529850746269e-05,0.43793262481689454,1.8076540231704712,
0.11,4.950310945273632e-05,0.44472782135009764,3.247641086578369,
0.12,4.937873134328358e-05,0.4553472900390625,1.2494500875473022,
0.13,4.931654228855721e-05,0.44248477935791014,1.7788211107254028,
0.14,4.9192164179104474e-05,0.4383827209472656,3.300727128982544,
0.15,4.906778606965174e-05,0.43153938293457034,1.365917444229126,
0.16,4.9005597014925373e-05,0.4171880340576172,2.645596504211426,
0.17,4.8881218905472635e-05,0.42653995513916015,1.0454310178756714,
0.18,4.8756840796019903e-05,0.42214115142822267,2.1373441219329834,
0.19,4.8694651741293534e-05,0.4284885025024414,0.20220056176185608,
0.2,4.8570273631840796e-05,0.4344606399536133,2.090498447418213,
0.21,4.8445895522388064e-05,0.41791568756103514,4.944278240203857,
0.22,4.8383706467661695e-05,0.4332938766479492,2.1775810718536377,
0.23,4.8259328358208957e-05,0.42467559814453126,1.763779878616333,
0.24,4.8197139303482594e-05,0.43519638061523436,2.1719417572021484,
0.25,4.8072761194029856e-05,0.4200493621826172,1.5480316877365112,
0.26,4.794838308457712e-05,0.43372364044189454,5.851096153259277,
0.27,4.788619402985075e-05,0.4182437896728516,1.9828715324401855,
0.28,4.776181592039801e-05,0.42803546905517575,4.5740251541137695,
0.29,4.763743781094527e-05,0.42275989532470704,3.2850327491760254,
0.3,4.757524875621891e-05,0.42024784088134765,0.37195563316345215,
0.31,4.745087064676617e-05,0.4160342788696289,1.6486940383911133,
0.32,4.73886815920398e-05,0.42729537963867187,1.5871962308883667,
0.33,4.726430348258707e-05,0.40742610931396483,1.9317313432693481,
0.34,4.713992537313433e-05,0.4241138458251953,1.6632742881774902,
0.35,4.707773631840796e-05,0.41597129821777346,1.1355865001678467,
0.36,4.695335820895523e-05,0.4178759002685547,1.4512712955474854,
0.37,4.682898009950249e-05,0.41282440185546876,1.8574992418289185,
0.38,4.676679104477612e-05,0.41859092712402346,2.1791090965270996,
0.39,4.6642412935323385e-05,0.4115406036376953,2.1514334678649902,
0.4,4.6580223880597015e-05,0.41054065704345705,0.5931308269500732,
0.41,4.645584577114428e-05,0.4209197998046875,1.3521052598953247,
0.42,4.6331467661691545e-05,0.4103144836425781,3.9972262382507324,
0.43,4.6269278606965176e-05,0.4082979965209961,3.046504259109497,
0.44,4.614490049751244e-05,0.40526954650878905,0.7843899130821228,
0.45,4.6020522388059706e-05,0.4160572052001953,0.9793415069580078,
0.46,4.595833333333334e-05,0.40477092742919923,2.1574981212615967,
0.47,4.58339552238806e-05,0.40426517486572267,2.7015888690948486,
0.48,4.577176616915423e-05,0.41552955627441407,4.544878005981445,
0.49,4.56473880597015e-05,0.40983291625976564,4.5393595695495605,
0.5,4.552300995024876e-05,0.41665225982666015,2.5971193313598633,
0.51,4.546082089552239e-05,0.4012847900390625,0.4720400273799896,
0.52,4.533644278606965e-05,0.4230437469482422,1.6110111474990845,
0.53,4.521206467661691e-05,0.4090336608886719,2.5756053924560547,
0.54,4.5149875621890544e-05,0.40433334350585937,0.09868601709604263,
0.55,4.502549751243781e-05,0.4035568618774414,0.5335941910743713,
0.56,4.496330845771144e-05,0.4021904373168945,1.7235403060913086,
0.57,4.4838930348258705e-05,0.4149444961547852,2.2903387546539307,
0.58,4.471455223880597e-05,0.4120986175537109,1.8582763671875,
0.59,4.4652363184079604e-05,0.41005706787109375,1.1918359994888306,
0.6,4.4527985074626866e-05,0.3993241500854492,0.42611727118492126,
0.61,4.4403606965174134e-05,0.4134061050415039,0.18394923210144043,
0.62,4.4341417910447765e-05,0.39649669647216795,1.0118129253387451,
0.63,4.4217039800995026e-05,0.4044504165649414,0.3257930278778076,
0.64,4.4092661691542295e-05,0.4134360122680664,1.445525050163269,
0.65,4.4030472636815926e-05,0.41080455780029296,1.1545524597167969,
0.66,4.390609452736319e-05,0.39895435333251955,1.1579060554504395,
0.67,4.384390547263682e-05,0.41372440338134764,0.5323279500007629,
0.68,4.371952736318408e-05,0.41100856781005857,2.062542676925659,
0.69,4.359514925373134e-05,0.39781951904296875,0.342956006526947,
0.7,4.353296019900498e-05,0.4094549560546875,1.1995913982391357,
0.71,4.340858208955224e-05,0.408223991394043,0.32877740263938904,
0.72,4.32842039800995e-05,0.4153169250488281,0.6069923043251038,
0.73,4.322201492537314e-05,0.3976576232910156,2.2457969188690186,
0.74,4.30976368159204e-05,0.39989547729492186,1.548087477684021,
0.75,4.303544776119403e-05,0.40811691284179685,0.4520663321018219,
0.76,4.29110696517413e-05,0.40029560089111327,0.4747697114944458,
0.77,4.278669154228856e-05,0.4127037811279297,0.7019637227058411,
0.78,4.272450248756219e-05,0.40504573822021483,0.4056708514690399,
0.79,4.2600124378109454e-05,0.3993046188354492,0.2343740612268448,
0.8,4.2475746268656716e-05,0.4012842559814453,1.1751153469085693,
0.81,4.241355721393035e-05,0.4034041976928711,0.08621428906917572,
0.82,4.2289179104477615e-05,0.3998168182373047,0.18652836978435516,
0.83,4.2226990049751246e-05,0.40644412994384765,1.7158905267715454,
0.84,4.210261194029851e-05,0.4061639404296875,3.1370465755462646,
0.85,4.1978233830845776e-05,0.40169464111328124,2.970937967300415,
0.86,4.191604477611941e-05,0.40528106689453125,1.1777406930923462,
0.87,4.179166666666667e-05,0.403828125,0.9396002888679504,
0.88,4.166728855721394e-05,0.4042771530151367,0.7650808691978455,
0.89,4.160509950248757e-05,0.40599010467529295,6.276239395141602,
0.9,4.148072139303483e-05,0.383695068359375,0.08748070150613785,
0.91,4.141853233830846e-05,0.4002141571044922,2.0778558254241943,
0.92,4.129415422885572e-05,0.4070682144165039,0.4711577296257019,
0.93,4.116977611940298e-05,0.3974941635131836,1.1503499746322632,
0.94,4.1107587064676614e-05,0.40071399688720705,0.10894902050495148,
0.95,4.098320895522388e-05,0.41490859985351564,1.4663212299346924,
0.96,4.0858830845771144e-05,0.40018878936767577,1.1985723972320557,
0.97,4.0796641791044775e-05,0.3939967727661133,1.1252716779708862,
0.98,4.067226368159204e-05,0.39410839080810545,0.16422544419765472,
0.99,4.0610074626865674e-05,0.39237300872802733,0.18068571388721466,
1.0,4.0485696517412935e-05,0.40507156372070313,3.647134780883789,0.39529433846473694
1.01,4.0361318407960204e-05,0.39667449951171874,0.2538314759731293,
1.02,4.0299129353233835e-05,0.39291824340820314,0.156337708234787,
1.03,4.0174751243781096e-05,0.38402351379394534,0.030063215643167496,
1.04,4.0050373134328365e-05,0.39309078216552734,3.885207414627075,
1.05,3.9988184079601995e-05,0.40358695983886717,2.0882210731506348,
1.06,3.986380597014926e-05,0.4045984649658203,0.21342527866363525,
1.07,3.973942786069652e-05,0.4056513214111328,1.4938114881515503,
1.08,3.967723880597015e-05,0.40380123138427737,0.5022081136703491,
1.09,3.955286069651741e-05,0.39385963439941407,1.38454270362854,
1.1,3.949067164179105e-05,0.3960872650146484,1.8084889650344849,
1.11,3.936629353233831e-05,0.39355220794677737,0.9263684153556824,
1.12,3.924191542288557e-05,0.3998152923583984,1.4510457515716553,
1.13,3.917972636815921e-05,0.39528354644775393,0.13481520116329193,
1.14,3.905534825870647e-05,0.39711345672607423,1.5090417861938477,
1.15,3.893097014925373e-05,0.4002773666381836,0.4598345458507538,
1.16,3.8868781094527363e-05,0.3958761215209961,0.24571046233177185,
1.17,3.874440298507463e-05,0.4012147903442383,1.386081337928772,
1.18,3.868221393034826e-05,0.3981196975708008,0.5317665934562683,
1.19,3.8557835820895524e-05,0.39825485229492186,3.3083882331848145,
1.2,3.8433457711442786e-05,0.3987386703491211,0.9199687242507935,
1.21,3.8371268656716417e-05,0.3971784210205078,1.0553706884384155,
1.22,3.824689054726368e-05,0.3936920166015625,0.21661004424095154,
1.23,3.8122512437810947e-05,0.40410896301269533,0.7541815638542175,
1.24,3.806032338308458e-05,0.4029578399658203,1.9777323007583618,
1.25,3.793594527363184e-05,0.39701854705810546,0.09345310181379318,
1.26,3.7873756218905477e-05,0.39639652252197266,0.22950977087020874,
